annotator,question_index,category,config_a,config_b,left_config,right_config,choice,timestamp
Arman,1,Protection sociale,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:34:49.243326+00:00
Arman,2,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:34:59.881769+00:00
Arman,5,Justice,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:35:46.966957+00:00
Arman,7,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:35:54.865209+00:00
Arman,9,Famille,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:36:00.552539+00:00
Arman,10,Justice,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:36:05.017312+00:00
Arman,12,Justice,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:36:07.852694+00:00
Arman,14,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:36:10.566124+00:00
Arman,16,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:36:14.402173+00:00
Arman,21,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:36:17.227136+00:00
Arman,28,Justice,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:36:19.675538+00:00
Arman,32,Famille,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:36:22.070686+00:00
Arman,33,Logement,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:36:26.005598+00:00
Arman,34,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:36:29.370448+00:00
Arman,39,Justice,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:36:34.185927+00:00
Arman,42,Travail,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:36:36.331348+00:00
Arman,53,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:36:39.173020+00:00
Arman,62,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:36:41.754127+00:00
Arman,65,Argent,C2_rag,C3_finetune,C2_rag,C3_finetune,neither,2026-08-13T16:36:49.921851+00:00
Arman,66,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:36:52.726514+00:00
Arman,77,Argent,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:36:56.540390+00:00
Arman,78,Etrangers,C2_rag,C3_finetune,C2_rag,C3_finetune,neither,2026-08-13T16:37:00.242278+00:00
Arman,79,Travail,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:37:03.190969+00:00
Arman,88,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:37:06.306708+00:00
Arman,91,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:37:09.791849+00:00
Arman,95,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,tie,2026-08-13T16:37:27.428296+00:00
Arman,97,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,left,2026-08-13T16:37:41.205098+00:00
Arman,100,Justice,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:37:56.127444+00:00
Arman,105,Etrangers,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:37:59.929666+00:00
Arman,106,Travail,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:38:03.945641+00:00
Arman,109,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:38:07.100568+00:00
Arman,110,Protection sociale,C2_rag,C3_finetune,C2_rag,C3_finetune,tie,2026-08-13T16:38:15.585887+00:00
Arman,111,Argent,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:39:02.758749+00:00
Arman,113,Travail,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:39:04.825135+00:00
Arman,117,Justice,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:39:07.073819+00:00
Arman,118,Protection sociale,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:39:09.837820+00:00
Arman,119,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:39:12.715319+00:00
Arman,127,Argent,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:39:14.698806+00:00
Arman,135,Etrangers,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:39:17.746363+00:00
Arman,137,Etrangers,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:39:19.976947+00:00
Arman,138,Justice,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:39:23.596754+00:00
Arman,145,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,tie,2026-08-13T16:39:29.132485+00:00
Arman,148,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,left,2026-08-13T16:39:31.418123+00:00
Arman,154,Justice,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:39:34.849417+00:00
Arman,159,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:39:37.288192+00:00
Arman,165,Logement,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:39:38.759596+00:00
Arman,169,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:39:40.658372+00:00
Arman,171,Logement,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:39:42.745823+00:00
Arman,174,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:39:45.332760+00:00
Arman,185,Travail,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:39:47.648257+00:00
Arman,188,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:39:54.222777+00:00
Arman,190,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:39:57.050012+00:00
Arman,191,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:40:01.412727+00:00
Arman,193,Protection sociale,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:40:03.749580+00:00
Arman,195,Logement,C2_rag,C3_finetune,C2_rag,C3_finetune,tie,2026-08-13T16:40:53.494679+00:00
Arman,196,Justice,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:40:55.894702+00:00
Arman,209,Logement,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:40:57.880178+00:00
Arman,213,Travail,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-08-13T16:40:59.737856+00:00
Arman,217,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:41:01.692870+00:00
Arman,221,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-08-13T16:41:04.073378+00:00
