annotator,question_index,category,config_a,config_b,left_config,right_config,choice,timestamp
Chaabane,1,Protection sociale,C2_rag,C3_finetune,C2_rag,C3_finetune,neither,2026-07-30T21:37:02.392268+00:00
Chaabane,2,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T21:37:10.724622+00:00
Chaabane,5,Justice,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T21:41:40.323556+00:00
Chaabane,7,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T21:41:46.960966+00:00
Chaabane,9,Famille,C2_rag,C3_finetune,C2_rag,C3_finetune,right,2026-07-30T21:42:21.992940+00:00
Chaabane,10,Justice,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T21:43:42.042986+00:00
Chaabane,12,Justice,C2_rag,C3_finetune,C2_rag,C3_finetune,tie,2026-07-30T21:44:02.029807+00:00
Chaabane,14,Etrangers,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T21:45:02.186909+00:00
Chaabane,16,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T21:45:18.080673+00:00
Chaabane,21,Argent,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T21:45:31.791227+00:00
Chaabane,28,Justice,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T21:45:47.258788+00:00
Chaabane,32,Famille,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T21:46:08.936723+00:00
Chaabane,33,Logement,C2_rag,C3_finetune,C3_finetune,C2_rag,left,2026-07-30T21:46:20.227506+00:00
Chaabane,34,Famille,C2_rag,C3_finetune,C3_finetune,C2_rag,right,2026-07-30T21:46:27.987471+00:00
Chaabane,39,Justice,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T21:46:34.137092+00:00
Chaabane,42,Travail,C2_rag,C3_finetune,C2_rag,C3_finetune,left,2026-07-30T21:46:46.752677+00:00
